,nr_inst,nr_class,nr_attr,nr_num,nr_cat,cat_to_num,attr_to_inst,freq_class.median,freq_class.sd,freq_class.min,freq_class.max,class_ent,kurtosis.median,kurtosis.max,kurtosis.min,kurtosis.sd,skewness.median,skewness.max,skewness.min,skewness.sd,leaves,nodes,pca.median,pca.kurtosis,pca.skewness,cat_values.min,cat_values.max,cat_values.median,cat_values.sd,cat_values.total,missing_attr.total,missing_attr.perc,missing_inst.total,missing_inst.perc,missing_values.total,missing_values.perc,log_nr_inst,log_nr_attr,log_attr_to_inst,inv_attr_to_inst,log_inv_attr_to_inst
oocytes_trisopterus_states_5b,0.0070221834240525825,0.01020408163265306,0.11196911196911197,0.11196911196911197,0.0,0.0,0.020501356867555273,0.8060342495291678,0.4323742846302594,0.035758365532062936,0.5918212144476686,0.13835374747497298,0.017781095979004454,0.0006020963945727946,0.18713162218758134,0.0008454632476637114,0.6911270593572858,0.01934564821030754,0.716145757015035,0.03987969617597747,0.004234297812279464,0.004234297812279464,0.05774855113730057,0.16408612820932797,0.3957698368223671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4616314281438937,0.5295895817066016,0.581933394509005,0.004402857119347321,0.41806660549099506
pittsburg-bridges-SPAN,0.0006033685940227997,0.01020408163265306,0.015444015444015444,0.015444015444015444,0.0,0.0,0.045366183252174126,0.5426890459836095,0.15830299003405873,0.5453236291626763,0.4623865460360978,0.20831835900971926,0.004653943254087762,2.8063312376670116e-05,0.13512815645963744,5.128256129134119e-05,0.6450919474674687,0.0019042440174960736,0.8404084978067569,0.011213792764330604,0.0018819101387908728,0.0018819101387908728,0.007304254460479667,0.12171237336686923,0.249241508228298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2099232915731094,0.1895634502501345,0.6671874823795062,0.0019439684521691195,0.3328125176204938
statlog-heart,0.002015507856629352,0.0,0.03861003861003861,0.03861003861003861,0.0,0.0,0.028048562993710172,1.0,0.05816420927065432,0.9454388259600309,0.5384036986233356,0.12408813277879314,0.006103531844803147,5.620623716285649e-05,0.083699941799871,0.00012079843390440217,0.6734687394699818,0.008293521880912895,0.8355627979980377,0.020506744982494926,0.003410962126558457,0.003410962126558457,0.013971246493476634,0.25932005583052276,0.4523284354898793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3295484315912962,0.32805926579718414,0.6155518524477449,0.0031972228389155113,0.38444814755225515
molec-biol-promoter,0.0007189072609633358,0.0,0.2084942084942085,0.2084942084942085,0.0,0.0,0.3180172318917796,1.0,0.06664651308009004,0.93748199677405,0.5425609161023813,0.12398357003310582,0.0024015216884143015,1.721245245548541e-05,0.11576172102845012,1.823640398202107e-05,0.6542051510562072,0.0030920215072218517,0.8401525647852651,0.006624239142656559,0.001058574453069866,0.001058574453069866,0.00931827847520566,0.1190976751439576,0.2200333984018686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22642518033787745,0.6587506448873881,0.8766692744209025,0.00019845692970348064,0.1233307255790976
yeast,0.011464003286433194,0.08163265306122448,0.019305019305019305,0.019305019305019305,0.0,0.0,0.003078803372980986,0.05644717771176337,0.1734964707572212,0.00637313406779086,0.3074624738140852,0.35915788097940476,0.02694345325259304,0.0019186984566224175,0.2855997615829794,0.005307417542837784,0.6978987299374092,0.04371829566844485,0.7917268562600999,0.1233972532638869,0.03787344154316631,0.03787344154316631,0.03610870506817406,0.16893294766452566,0.27128516483324194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143914639421125,0.21943803472157702,0.3805009804895033,0.02909935633044584,0.6194990195104968
monks-3,0.0010526856321248844,0.0,0.011583011583011582,0.011583011583011582,0.0,0.0,0.023719157929094188,1.0,0.023696567883643525,0.9777713779557026,0.5215110465046846,0.12436665042962247,0.0018687117845878384,4.685508644077844e-06,0.08477394810317573,1.874260579018434e-05,0.6579017250702752,0.0014265542777540927,0.8721690361934304,0.002973436332732592,0.0011761938367442955,0.0011761938367442955,0.0070096702827980905,0.12051394140762049,0.11545361678074802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2635478223499406,0.15507577349251225,0.5975651404130622,0.0037953669780444706,0.40243485958693787
titanic,0.01653486700215672,0.0,0.0,0.0,0.0,0.0,0.0007342261797960917,1.0,0.39329666340110486,0.6310665945665038,0.7026530386411917,0.10879576639696974,0.0069149242968811605,0.00019690600516582345,0.18830044206138705,0.0007331290773424881,0.6293853157568648,0.014752268301026748,0.8229505344394599,0.06821674199145829,0.0011761938367442955,0.0011761938367442955,0.04644580168452501,0.08982707253896896,0.15091961598884773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5539756201853737,0.0,0.23575354784513725,0.1118800129186475,0.7642464521548629
synthetic-control,0.004621546677621444,0.04081632653061224,0.22007722007722008,0.22007722007722008,0.0,0.0,0.05814263406786153,0.3247207290627917,0.010580809213747431,0.32045649963572004,0.17189963521745186,0.37073796415096866,0.00463128925844981,3.0277458535112808e-05,0.14728368284390955,5.38190664351979e-05,0.6573216711986237,0.004207978735471777,0.8499218610950254,0.006648686136741309,0.0027052458245118796,0.0027052458245118796,0.023817484760923508,0.9998827630992428,0.9394110412342505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41689117066921616,0.6702263422936774,0.693855687876869,0.001497164274591201,0.3061443121231311
ionosphere,0.0026702269692923898,0.0,0.11583011583011583,0.11583011583011583,0.0,0.0,0.054475973075636945,1.0,0.3060802731386813,0.7128803035629754,0.6599080485551606,0.115048374923305,0.007033334332962337,8.002663552965003e-05,0.18862720185413562,9.459584745500612e-05,0.6327758770151309,0.0008123100356722402,0.7729609019433519,0.014024169635817449,0.0016466713714420136,0.0016466713714420136,0.018290338701139768,0.35192637415203887,0.5455302436385492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35887542005456097,0.5364740341046325,0.6868536422937008,0.0016039843592356455,0.31314635770629934
pittsburg-bridges-T-OR-D,0.000680394371983157,0.0,0.015444015444015444,0.015444015444015444,0.0,0.0,0.04089483048052156,1.0,0.7516852969086104,0.2948789202996272,0.8783002743036639,0.06278525413871523,0.005586426160075918,3.7984283638356665e-05,0.16223002519334878,6.545076872924434e-05,0.6355395818569833,0.0027332080003593536,0.837932199392986,0.014148015297163056,0.0007057163020465773,0.0007057163020465773,0.006927276548992091,0.13872578098110536,0.29270834221014524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22119757672687576,0.1895634502501345,0.656039258259518,0.002166136275274161,0.34396074174048197
